Country,Region,Languages,Religion,Population,Area (km2),Happiness,GDP per Cap,Gender Ratio %,Gender Gap,Suicide per 100k,Suicide 5-14 years,Suicide 15-49 years,Suicide  50-69 years,Suicide 70+ years,Unemployment (%),Divorce Rate per 100k,GINI,Christian,Muslim,Irreligion,Hindu,Buddhist,Folk religion,Other religion,Jewish,Hunger (rate),Urbanization (rate),Democracy (value),Holiday (Paid Days),Fertility (per woman),Air Quality (Value),Homicide per 100k,Prison (per 100k),Alchool (per cap),Drugs Usage (per cap),Antidepressants (per cap),Congestion (Per capita),Power Distance,Individualism,Masculinity,Uncertainity Avoidance,Long Term Orientation,Net Migration,Mortality
Hungary,Eastern Europe,Europe (other),Christian,9778000,90530,5.33,14545.614,52.48,0.6742,22.22346789,0.33,16.935,35.05,41.055,6.81,37.74,30.6,81,0,18.6,0,0,0,0,0.1,X,71.9,6.63,33,1.45,14.57,2.5,173,11.4,0.72,28.8,127.14,46,55,88,82,0,X,13.4
Indonesia,Southeastern Asia,Asia (other),Muslim,258383008,1811570,5.25,3752.324,49.64,0.6613,3.070581522,0.19,3.92,4.21,8.11,4.51,X,39,9.9,87.2,0.1,1.7,0.7,0.3,0.1,0,20.1,56.6,6.48,27,2.39,51.71,0.4,99,0.8,0.58,X,195.8,78,14,46,48,0,-0.4,6.42
India,Southern Asia,Hindi,Hindu,1310151936,2973190,4.3,1885.966,48,0.6551,15.23474263,1.04,21,20.72,28.49,3.49,X,37.8,2.5,14.4,0.07,79.5,0.8,0.5,2.3,0,30.3,34.9,6.9,27,2.3,58.08,3.08,34,5.7,0.52,X,206.74,77,48,56,40,61,-0.4,7.19
Ireland,Northern Europe,English,Christian,4652000,68890,6.966,70459.408,50.51,0.7823,9.55455049,0.215,12.115,14.135,7.25,9.4,14.89,32.8,92,1.1,6.2,0.2,0.2,0.2,0,0,X,63.7,9.24,29,1.85,10.6,0.87,79,13,1.05,X,150.41,28,70,68,35,0,-4.9,6.4
Iran,Middle East and Northern Africa,Persian,Muslim,78492000,1628760,4.69,3135.612,49.38,0.5842,6.011070198,0.465,8.29,5.445,9.055,11.06,14.29,40.8,1.5,87.6,3.1,0.02,0,0,7.8,0,7.9,75.9,2.38,53,2.04,24.27,2.47,294,1,2.01,X,216.09,58,41,43,59,0,-1.3,4.81
Iraq,Middle East and Northern Africa,Arabic,Muslim,35572000,434128.0078,4.532,5352.22,49.44,X,3.593004506,0.135,5.67,5.69,7.195,8.09,X,29.5,0.8,99,0.1,0,0,0,0.06,0,18.7,70.9,3.74,20,3.97,39.6,10.08,126,0.4,1.66,X,X,80,38,52,68,0,8,4.97
Iceland,Northern Europe,Europe (other),Christian,330000,100250,7.51,65051.14,49.83,0.8731,12.04782356,0.27,11.555,16.03,30.595,3.98,36.73,26.8,95,0.2,3.5,0.3,0.4,0.5,0.2,0,X,93.9,9.58,38,1.8,5.55,0.89,37,9.1,0.7,141.4,91.18,X,X,X,X,X,-1.3,6.6
Israel,Middle East and Northern Africa,Europe (other),Jewish,7978000,21640,7.142,39800.282,50.41,0.7032,6.155604365,0.195,6.9,9.76,15.67,5.25,27.69,39,2,18.6,3.1,0,0.3,0.2,0.1,75.6,X,92.6,7.86,21,3.09,20.83,1.36,234,3.8,0.7,49.2,150.29,13,54,47,81,0,0.5,5.3
Italy,Southern Europe,Europe (other),Christian,60578000,294140,6.022,32257.264,51.48,0.6885,7.428335571,0.125,6.05,9.65,13.86,11.9,47.06,35.9,83.3,3.7,12.4,0.1,0.2,0.1,0.1,0.08,X,71,7.52,32,1.35,17.09,0.57,101,7.5,1.22,40.3,133.82,50,76,70,75,0,5.5,10.7
Jamaica,Latin America and Caribbean,English,Christian,2891000,10830,5.662,5151.304,50.3,0.7085,3.946049694,0.205,4.975,5.2,6.14,13.51,20,45.5,77.2,0.4,17.2,0,0,4.5,1,0,8.2,56.3,6.96,10,2.03,X,43.85,138,4.2,0.95,X,X,45,39,68,13,0,-4,7.52
Jordan,Middle East and Northern Africa,Arabic,Muslim,9267000,88780,5.18,4188.824,49.35,0.6093,2.844063401,0.11,4.225,3.93,7.08,13.07,25.49,33.7,2.2,97.2,0,0.1,0.4,0,0,0,10.5,91.4,3.93,24,3.07,18.3,1.4,198,0.7,1.6,X,192.91,X,X,X,X,X,25.6,3.81
Japan,Eastern Asia,Japanese,Atheist,127985000,364560,5.928,38215.82,51.14,0.6498,22.2529704,0.47,19.93,29.365,32.195,3.33,35.42,32.9,1.6,0.2,57,0.02,36.2,0.4,4.7,0,X,91.8,7.99,26,1.45,11.36,0.26,39,8,0.91,X,132.05,54,46,95,92,80,0.6,10.3
Kazakhstan,Central Asia,Asia (other),Muslim,17572000,2699700,5.84,9403.388,51.58,0.7218,23.62033935,2.03,31.25,31.895,37.38,4.93,26.74,27.5,24.8,70.4,4.2,0,0.2,0.3,0.1,0,5.5,57.7,2.94,40,2.73,23.6,5,156,7.7,0.63,X,128.42,X,X,X,X,X,1.9,7.46
Kenya,Sub-Saharan Africa,English,Christian,47878000,569140,4.45,1568.858,50.33,0.6803,6.324111748,0.54,6.6,25.255,56.875,11.59,X,40.8,84.8,9.7,2.5,0.1,0,1.7,1.2,0,25.2,28,5.18,28,3.77,X,4.93,102,3.4,0.48,X,277.72,64,27,41,52,25,-0.2,5.93
Kyrgyzstan,Central Asia,Asia (other),Muslim,5959000,191800,5.174,1220.41,50.52,0.6948,9.787087357,1.665,13.255,15.545,16.415,7.56,16.49,27.7,11.4,88,0.4,0,0,0.1,0,0,8.8,36.9,4.89,20,3.2,33.2,2.19,161,6.2,0.53,X,X,X,X,X,X,X,-3.3,5.8
Cambodia,Southeastern Asia,Asia (other),Buddhist,15521000,176520,4.206,1394.6,51.23,0.6509,4.105520922,0.095,5.045,8.655,11.07,0.18,X,0,0.4,2,0.2,0,96.9,0.6,0,0,22.8,24.2,3.53,45,2.59,21.1,1.84,220,6.7,0.56,X,X,X,X,X,X,X,-2,6.1
